,Race,Alcohol,Junky,Supervised Release,Married,Felony,WorkRelease,Crime against Property,Crime against Person,Gender,Priors,YearsSchool,PrisonViolations,Age,MonthsServed,Target
2378,1,0,0,1,0,0,1,0,0,1,2,1,0,1,3,0
4645,0,0,0,1,0,1,0,1,0,1,0,0,0,3,3,0
2314,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
3036,1,0,1,1,1,1,1,1,0,1,2,1,2,0,0,0
1237,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1
103,0,0,0,1,1,1,0,0,1,1,0,2,2,3,3,1
4637,1,0,1,1,1,1,1,0,1,1,2,1,0,0,3,0
272,0,0,0,1,1,0,0,1,0,1,0,0,2,0,2,1
508,1,0,0,0,0,1,0,0,0,0,2,3,2,3,2,0
2342,0,0,0,1,1,0,0,1,0,1,2,1,2,2,1,1
5052,1,0,0,1,1,0,0,0,0,1,2,1,2,2,0,0
1803,1,0,1,1,1,1,0,0,0,1,2,2,0,2,1,0
865,1,0,0,0,1,1,0,0,0,1,3,1,0,2,2,1
3494,1,0,0,1,1,0,0,1,0,0,2,3,2,0,0,0
908,1,0,0,1,0,1,1,1,0,0,2,3,2,3,0,0
4621,0,0,0,1,1,0,0,1,0,0,2,0,2,1,2,0
4808,1,0,0,1,1,1,0,0,0,1,1,2,0,1,3,1
1303,0,0,0,1,1,0,0,1,0,1,1,2,2,3,0,1
1627,1,0,0,1,1,0,0,0,0,1,2,2,2,2,3,1
3027,0,0,0,0,1,1,0,0,0,1,2,0,2,2,0,0
1522,0,1,0,1,1,1,0,0,0,1,2,3,2,1,0,0
835,0,0,0,1,1,0,0,0,1,1,2,3,0,2,0,0
358,0,1,0,1,0,1,0,1,0,1,2,1,2,2,0,0
138,1,1,0,1,1,1,1,1,0,1,1,3,0,3,3,1
299,1,0,0,1,1,0,0,1,0,1,2,0,0,2,0,0
1556,0,0,0,0,1,1,0,1,0,1,2,3,2,1,0,1
1003,0,0,0,0,1,0,0,0,0,1,2,1,0,2,1,1
382,1,0,1,1,0,1,0,0,0,0,2,2,2,2,0,0
941,1,0,0,1,0,1,1,1,0,1,0,2,2,0,1,1
2346,1,0,0,1,0,0,1,0,0,1,2,1,0,3,0,1
3951,1,0,0,1,1,0,0,0,0,1,3,1,2,2,2,1
761,1,0,0,1,1,1,0,0,0,1,2,1,0,2,1,0
1859,0,1,1,0,1,0,0,0,1,1,2,3,0,0,0,1
4549,1,0,0,1,1,1,1,0,0,1,2,3,2,1,1,0
3729,1,0,0,1,0,1,1,1,0,0,2,3,2,3,0,0
2238,1,1,0,1,0,0,1,1,0,1,0,2,0,3,3,1
2309,0,0,0,1,0,0,0,0,1,1,2,3,2,3,2,0
898,1,0,0,1,0,0,0,1,0,1,2,3,0,3,1,0
4147,1,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1
4189,0,0,1,1,1,1,1,1,0,1,0,1,0,1,3,1
1402,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,1
2154,0,0,0,1,0,0,0,0,0,1,0,2,2,3,2,0
3990,1,0,0,1,1,0,0,1,0,0,0,1,2,3,2,0
4869,1,1,0,1,0,1,1,0,1,1,2,2,2,3,1,0
3116,0,0,0,1,1,1,1,1,0,1,2,1,2,2,1,1
1512,0,0,0,0,1,1,0,1,0,1,2,1,1,0,3,1
1188,0,0,0,0,1,1,0,1,0,1,0,0,2,2,0,1
3151,1,1,0,1,1,0,0,0,0,1,2,1,2,2,0,0
4476,0,0,0,1,0,1,1,0,0,1,2,2,2,3,3,0
4087,0,0,0,0,0,1,0,1,0,1,0,1,1,0,3,0
3622,0,0,0,1,0,1,1,1,0,1,3,2,2,0,3,0
4489,0,1,1,1,1,0,0,1,0,1,0,1,2,2,2,1
108,1,0,1,1,1,1,0,0,0,1,2,2,0,0,1,0
2879,1,0,0,0,1,1,1,0,0,1,2,0,2,2,2,0
3409,0,0,1,1,1,1,1,1,0,1,2,3,2,1,3,1
3989,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
58,0,0,0,1,1,1,1,0,0,1,0,3,0,0,1,1
76,1,0,0,1,1,0,0,1,0,1,2,2,2,0,0,0
796,1,0,0,1,0,0,0,1,0,1,2,2,2,0,2,0
368,1,0,0,1,0,0,1,1,0,1,0,0,2,1,0,0
5024,1,0,0,1,0,0,1,0,0,1,2,1,0,3,1,0
785,0,0,0,0,1,0,0,1,0,1,2,1,2,0,0,0
4831,0,0,0,1,1,0,0,0,0,1,2,0,1,2,1,1
4929,1,1,0,1,1,0,1,0,0,1,0,2,2,1,0,1
2098,0,1,0,1,1,0,0,0,0,1,2,1,2,2,3,0
2127,0,1,0,1,1,0,0,1,0,1,2,3,2,2,2,1
2213,0,0,0,1,1,1,0,1,0,1,0,3,0,0,1,1
3721,1,1,0,0,1,0,0,0,0,1,2,1,2,0,0,0
5037,1,0,0,1,1,1,0,0,0,1,2,3,2,0,1,0
2547,1,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1
121,0,0,0,1,0,0,0,0,0,1,2,3,2,1,0,0
3641,1,0,0,0,1,1,0,0,0,1,3,3,0,0,2,1
4774,1,1,0,1,0,1,0,1,0,1,2,3,2,3,1,0
3841,1,1,1,1,0,0,1,0,0,1,1,3,2,1,2,1
910,1,1,0,1,0,0,0,0,0,1,1,3,2,3,2,1
124,1,0,0,0,1,0,0,0,0,1,2,2,0,0,0,1
5073,0,1,0,1,1,0,0,0,0,1,0,2,2,3,2,0
2095,1,1,0,1,1,0,0,0,1,1,3,3,2,2,0,0
5056,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
1586,1,0,0,1,0,1,0,1,0,1,0,2,1,1,3,0
1257,1,0,0,1,1,0,0,0,0,1,2,1,2,2,0,0
3626,0,1,1,1,1,1,0,1,0,1,2,1,2,2,1,1
3667,0,0,0,1,1,0,0,0,0,1,0,1,2,1,3,0
3566,0,0,0,1,1,0,0,1,0,1,0,2,2,1,0,1
1178,0,0,0,1,1,1,0,1,0,1,2,0,0,2,3,1
4207,1,0,0,1,1,0,0,0,0,1,2,1,2,1,0,1
2644,0,1,1,1,1,0,0,1,0,1,0,3,2,0,0,1
3656,1,1,1,1,1,1,0,1,0,1,0,2,0,2,3,1
2456,1,0,0,0,0,1,0,0,0,0,2,3,2,3,2,0
3291,0,0,0,0,1,0,0,0,0,1,2,2,0,2,1,1
442,0,1,1,0,1,0,0,1,0,1,0,2,0,2,1,1
2063,0,0,0,1,0,1,0,0,0,1,2,3,0,0,1,0
3379,1,1,0,1,0,1,1,0,1,1,0,2,2,3,1,1
925,0,1,0,1,0,0,0,1,0,1,3,1,2,1,2,1
2887,0,1,0,1,0,0,1,0,0,1,0,3,2,3,2,0
2251,1,0,0,1,1,0,1,0,0,1,2,1,0,0,1,0
5042,1,0,1,0,0,1,0,0,0,1,2,1,2,0,0,1
1411,0,0,0,1,0,0,1,1,0,1,0,2,1,0,3,0
3653,0,1,0,1,1,1,1,1,0,1,2,1,2,1,1,0
1907,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0
1509,1,1,0,1,1,0,1,0,0,1,2,1,2,0,1,1
1227,0,0,0,1,1,1,1,1,0,0,0,1,0,0,3,1
3796,1,0,1,1,1,1,0,0,0,1,2,0,2,2,2,1
4383,0,0,0,0,1,0,0,1,0,1,2,1,2,0,0,0
4059,1,0,1,0,1,1,0,0,0,0,3,2,2,1,2,0
4369,1,0,0,1,0,0,1,0,0,1,2,2,2,0,2,1
4959,0,0,0,1,0,1,0,1,0,1,0,3,0,1,3,1
324,1,0,0,1,1,1,0,1,0,1,2,1,1,0,3,0
3248,0,0,0,1,1,1,0,1,0,1,2,2,2,3,3,0
3555,1,0,0,1,1,1,1,0,1,1,0,3,1,3,3,1
2077,1,0,0,1,1,1,1,0,1,1,2,1,0,2,3,1
5077,1,1,1,1,1,0,0,1,0,1,2,0,0,2,1,1
3475,0,0,0,0,0,1,1,0,1,0,0,2,1,3,3,0
3551,1,0,0,1,1,0,0,0,0,1,2,1,2,2,0,0
1498,1,0,0,1,0,0,1,0,1,1,0,2,0,3,1,0
1502,1,0,0,1,0,0,0,0,0,1,0,1,2,3,0,1
1006,1,1,0,1,0,1,1,1,0,1,1,2,2,1,3,0
2303,1,0,0,1,0,1,1,1,0,1,2,3,0,1,1,1
2858,0,0,0,1,1,1,1,0,1,1,0,1,0,0,3,1
3704,0,0,0,1,1,0,0,0,0,1,0,1,0,2,1,1
1467,0,1,0,1,0,1,0,1,0,1,1,1,0,3,3,1
1225,1,1,1,1,0,0,0,1,0,1,2,2,2,2,2,1
3058,1,1,1,1,0,0,0,1,0,1,3,3,0,3,3,0
2275,1,0,0,0,1,1,1,0,0,1,2,2,2,3,2,0
4609,1,1,0,0,1,0,0,0,0,1,1,2,2,3,0,0
4738,1,0,0,1,1,0,1,0,0,1,0,3,2,3,2,0
1216,0,0,0,1,1,0,0,1,0,0,2,1,0,2,0,0
4137,1,0,0,0,1,0,0,1,0,1,2,1,2,2,0,0
3686,0,0,0,1,0,0,0,0,0,1,2,3,0,0,1,1
420,0,1,0,0,1,0,1,1,0,1,0,2,0,3,1,1
3606,1,0,0,1,0,0,1,0,0,1,2,1,2,0,2,0
6,1,0,1,1,1,0,0,0,0,1,2,3,0,2,1,0
932,1,1,0,1,0,0,0,1,0,1,0,2,2,0,2,0
1691,1,1,0,1,1,0,1,0,0,1,2,0,0,2,3,1
439,1,0,0,0,1,1,0,0,0,1,3,3,2,0,2,0
1313,0,0,0,0,1,0,0,0,0,0,2,1,0,3,1,0
678,1,0,1,1,1,1,0,1,0,1,0,2,0,2,3,1
3473,1,1,0,1,1,0,0,0,0,1,2,0,2,0,2,0
4812,1,0,0,1,1,1,1,1,0,1,2,2,1,2,3,1
2131,1,0,0,1,1,0,0,1,0,1,2,2,2,2,0,0
4483,1,0,1,1,0,1,0,1,0,1,1,3,0,3,3,0
2387,1,0,0,1,1,0,1,0,0,1,0,1,0,0,3,1
4745,1,1,0,1,0,1,1,1,0,1,2,1,0,0,1,1
2227,0,0,0,1,0,1,1,1,0,1,0,2,0,3,3,0
2647,1,0,0,1,1,0,1,0,0,1,2,3,0,3,2,1
4900,1,1,0,1,1,1,0,1,0,1,2,0,2,2,1,0
1086,1,1,0,1,1,1,1,1,0,1,0,2,2,1,1,0
1064,1,0,0,1,1,1,1,0,1,1,2,3,2,3,1,0
4349,0,1,0,1,1,0,1,1,0,1,0,3,2,3,1,0
2925,1,1,0,1,1,0,1,0,0,1,2,3,2,3,0,0
4213,0,0,1,0,1,0,0,0,0,0,2,3,0,2,0,1
194,1,0,1,0,1,0,0,0,1,1,2,1,0,2,0,0
1474,1,0,0,0,1,0,1,0,1,1,0,1,0,3,3,1
